launch,发动；"发起'w",v,b,,
starchy,含淀粉的；淀粉似的,a,e,,
acrylamide,丙烯酰胺,n,e,,
purification,净化,n,b,i,
DNA,脱氧核糖核酸,n,e,,
molecule,分子,n,b,,
reaction,反应,n,b,a,
Maillard reaction,美拉德反应,p,e,,
flavor,味；味道,n,b,,
amino acid,氨基酸,n,e,,
cereal,（经加工的）谷类食品,n,b,,
convert,使转变；使变化,v,b,a,
compound,化合物；复合物,n,b,a,
bind,（使）结合,v,b,,
mutation,（生物的）突变；突变体,n,e,,
charity,慈善机构,n,b,,
factor,因素,n,b,a,
defined,明确的；确定的,a,b,a,
obesity,过度肥胖,n,b,i,
impact,影响；作用,p,b,a,
have an impact on,对……有影响；起作用,p,e,,
on the safe side,为了保险起见,n,e,,
exposure,暴露；显露,n,b,a,
calorie,卡（路里）（单位热量）,n,e,,
crisp,油炸（马铃）薯片,n,b,i,
source,来源；出处,n,b,a,
roast,烤（肉等）,v,e,,
go for,试图得到；争取,p,e,,
crispy,催的；酥脆的,a,b,i,
do well to do sth.,最好还是做某事；做某事很明智,p,e,,
trade-off,（在不能兼顾的两种因素之间做出的）权衡；协调,n,e,,
occasional,偶尔的；偶然的；不经常的,a,b,,
overcooked,烘烤过度的；蒸煮熟过度的,a,b,,
enzyme,酶（由生物体内活细胞产生的一种生物催化剂）,n,e,,
break down,（把……）分解,p,e,,
sucrose,蔗糖,n,e,,
glucose,葡萄糖；右旋糖,n,e,,
fructose,果糖；左旋糖,n,e,,
blanch,焯（把蔬菜、水果、坚果等放在沸水中略微一煮）,v,e,,
result in,导致；造成,p,e,,
asparagine,天冬酰胺,n,e,,
sweeping,（太）笼统的；总括的,a,b,,
generalization,概括；归纳,n,b,i,
ingredient,成分；配料,n,b,,
undergo,经理；经受；遭受,v,b,a,
ferment,使发酵,v,e,,
sprout,发芽；抽芽,v,b,d,
nutrition,有营养的；营养价值高的,a,b,,
detrimental,有害的；不利的,a,b,d,
applesauce,苹果沙司；苹果泥,n,b,,
original,最早的；最初的,n,a,,
discern,识别；了解,v,b,i,
distinct,截然不同的；完全分开的,a,b,a,
take note of,注意（到）；留意（到）,p,e,,
cart,手推车,n,b,,
minimally,最小地；极少地,ad,b,i,a
whole food,天然食物；全营养食物,n,b,,
shelf life,（食物、药品的）储藏寿命,n,b,,
vacuum-sealing,真空封装的,a,b,,
make up,形成；组成；构成,v,e,,
option,可选择的方法,n,b,a,
enhance,提高；增加；增强,v,b,a,
olive,（食用或榨油）橄榄,n,b,i,
account for,（在数量、比例方面）占,e,p,,
fall into,属于；归入,e,p,,
ultra-processed,过分加工的；超加工的,a,b,d,
enriched,（食物）增加维生素和矿物质的；强化的,a,b,,
syrup,糖浆,n,e,,
coloring,（尤指加入食物的）色素,n,e,,
formulation,配置；制剂,n,b,i,a
collectively,就整体而言；共同地,ad,b,,
vitamin,维生素,n,b,,
hypertension,高血压（症）,n,b,d,
diabetes,糖尿病,n,b,d,
soda,苏打水,n,b,,
powdered,（制成）粉状的,a,b,,
deep-fried,油炸的,a,b,,
fare,饮食；伙食,n,b,,
whole grain,天然的谷物；未加工的谷物,p,b,,
moisture,水分；湿气,n,b,,
minimal,最小的；极少的,a,b,i,a
protein,蛋白质,n,b,,
counterpart,两方面地位或职位相当的人（物）,n,b,i,
probiotic,益生菌；维生素,n,e,,
kimchi,朝鲜泡菜,n,e,,
immune,（对……）有免疫力的；不受……影响的,a,b,,
the immune system,（身体的）免疫系统,p,b,,
relieve,减轻（痛苦、焦虑或困扰）,v,b,,
constipation,便秘,n,e,,
cholesterol,胆固醇,n,b,i,
neurological,神经系统的；神经病学的,a,e,,
disorder,（身体、精神的）失调；紊乱,n,b,,
shelf-stable,可在架上存放较长时间的,a,e,,
pasteurize,用巴斯德消毒法给液体消毒,v,e,,
retain,保留；保有,v,b,a,
wither,（植物等）枯萎；凋谢,v,b,d,
comparison,比较；对照,n,b,,
versus,与……相比；与……相对,prep,n,i,
compared with,和……比起来；与……对照,p,e,,
stock,为……办货；（尤指为销售而）储备,v,b,,
stock up on sth.,充分储备某物,p,e,,
vegetarian,素食者,n,e,,
hippie,嬉皮士的,a,e,,
log cabin,小木屋,p,e,,
cruelty,残忍；残酷,n,b,,
hypocritically,伪善地；虚伪地,ad,e,,
emission,排放物,n,b,i,
tuck into,大吃,p,e,,
stall,故意敷衍或不采取行动,v,b,i,
pitch,竭力劝说；推销,v,b,,
binary,由两个东西（或部分）组成的,a,e,,
taste bud,味蕾,p,e,,
culprit,产生事故原因的；引起不良后果的事物,n,b,d,
in terms of,从……观点来看；从……角度来讲,p,e,,
sustainably,能保持地；能持续地,ad,b,a,
end up,最后成为；最后处于,p,e,,
intake,吸入量；摄入量,n,b,d,
give sth. a shot,尝试做某事,p,e,,
genetically modified,转基因的,p,b,,
rot,腐败；腐烂,v,b,i,
rot,腐朽；腐烂,n,b,i,
set in,（疾病、坏天气等）开始来临；盛行,p,e,,
Israeli,以色列的；以色列人,a,b,,
significantly,显著地；明显地,ad,b,a,
decomposition,腐烂,n,e,,
alter,使改动；更改,v,b,a,
genetic,基因的；遗传学的,a,b,,
make-up,组成；构成,n,b,,
gene,基因；遗传因子,n,b,,
previously,以前地；先前地,ad,b,,
finding,（调查、研究的）结果,n,b,,
isolate,使隔离；使孤立,v,b,a,
intervention,干扰；干预；介入,n,b,d,a
commercialize,使商业化；使商品化,v,b,,
wholesaler,批发商,n,b,i,
